,date,price,bubble_size,bubble_color,from_address,to_address,punk_id,img_url,punk_skin_tone
5712,2021-08-27,95.0,2,#933e18,\x9d1968765e37f5cbd4f1c99a012cf0b5b07067ae,\x97db27c92bc776079f57bf26533111abc81af7ca,7525,https://www.larvalabs.com/cryptopunks/cryptopunk7525.png,Dark
5714,2021-05-07,19.49,3,#933e18,\x4affe16d35143db85027c05d97f56ebdc668347e,\x0e9aed5c7721c642a032812c2c4816f7d6cb87d7,5840,https://www.larvalabs.com/cryptopunks/cryptopunk5840.png,Dark
5715,2021-07-30,23.99,3,#933e18,\x0e9aed5c7721c642a032812c2c4816f7d6cb87d7,\x14fa3d4f739403ac2c0060eafd25e1ec21359621,5840,https://www.larvalabs.com/cryptopunks/cryptopunk5840.png,Dark
5716,2021-08-06,50.69,3,#933e18,\x42f3f76ba5202d7a4c48fd428b5613c657689bcc,\xba19ba5233b49794c33f01654e99a60e579e6f29,5840,https://www.larvalabs.com/cryptopunks/cryptopunk5840.png,Dark
5717,2021-08-06,50.0,3,#933e18,\x1d8e9288f0434eeeeef5d30c38aaaf30317c7299,\x42f3f76ba5202d7a4c48fd428b5613c657689bcc,5840,https://www.larvalabs.com/cryptopunks/cryptopunk5840.png,Dark
5718,2021-08-12,50.0,3,#933e18,\xba19ba5233b49794c33f01654e99a60e579e6f29,\x1583b0c3a4e2a53f8f712579944373b5f28739ae,5840,https://www.larvalabs.com/cryptopunks/cryptopunk5840.png,Dark
5719,2022-01-23,71.0,3,#933e18,\x1583b0c3a4e2a53f8f712579944373b5f28739ae,\x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,5840,https://www.larvalabs.com/cryptopunks/cryptopunk5840.png,Dark
5720,2022-01-25,72.95,3,#933e18,\x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,\xc4f370c6d3164a56971692362a9e488c0992a29d,5840,https://www.larvalabs.com/cryptopunks/cryptopunk5840.png,Dark
5722,2021-05-03,23.0,3,#933e18,\x464c3ac1a6a3ef9a9e22f99877d4b3640b10510c,\xbae25a69a6eb7341ee834be7635e247e22a1e57a,8667,https://www.larvalabs.com/cryptopunks/cryptopunk8667.png,Dark
5723,2021-08-05,35.9,3,#933e18,\x2a98fcd155c9da4a28bdb32acc935836c233882a,\x186980d30a5b7ee4b81114beff6351c94bc332f8,8667,https://www.larvalabs.com/cryptopunks/cryptopunk8667.png,Dark
5724,2021-08-19,49.9,3,#933e18,\x186980d30a5b7ee4b81114beff6351c94bc332f8,\xc08fd8505a4665d5fe1a6b8eacb65ff7936ec3cd,8667,https://www.larvalabs.com/cryptopunks/cryptopunk8667.png,Dark
5725,2021-08-19,49.0,3,#933e18,\xbc668f251657a016df6551ade1b0a88a100a2a42,\xc08fd8505a4665d5fe1a6b8eacb65ff7936ec3cd,8667,https://www.larvalabs.com/cryptopunks/cryptopunk8667.png,Dark
5726,2021-08-23,66.97,3,#933e18,\x1b6284b63ad8e0b0e254500869896153a2260d1c,\x073e9bf572f8711ee9e003cee4aa712e0a21fb08,8667,https://www.larvalabs.com/cryptopunks/cryptopunk8667.png,Dark
5727,2021-08-23,54.98,3,#933e18,\xc08fd8505a4665d5fe1a6b8eacb65ff7936ec3cd,\x1b6284b63ad8e0b0e254500869896153a2260d1c,8667,https://www.larvalabs.com/cryptopunks/cryptopunk8667.png,Dark
5730,2021-02-13,7.5,2,#933e18,\x13816f65ba8195768e6825eb774fd3c6a05a0ac8,\x6f4a2d3a4f47f9c647d86c929755593911ee91ec,7263,https://www.larvalabs.com/cryptopunks/cryptopunk7263.png,Dark
5732,2021-01-05,4.98,3,#933e18,\x78681c47dd2af465b6ebe415b62002542ba3b387,\xfb184169f71d632377f8e14192d3098ba2c1f006,5198,https://www.larvalabs.com/cryptopunks/cryptopunk5198.png,Dark
5733,2021-08-09,42.0,3,#933e18,\xfb184169f71d632377f8e14192d3098ba2c1f006,\x2da7e2f0eb6fe7ecf7dea7be0bb9c3cdf20ca508,5198,https://www.larvalabs.com/cryptopunks/cryptopunk5198.png,Dark
5734,2022-01-02,66.7,3,#933e18,\xd2d628156b947751a43c1c2132f6954bb45b30b2,\x729715f4f92e29ca175da2021878bf1ae029fc05,5198,https://www.larvalabs.com/cryptopunks/cryptopunk5198.png,Dark
5739,2022-05-25,50.0,2,#933e18,\x422fac9209d91c24b3115bf7fb0ef7a3a7efbd7d,\x194eac8180177c5261df925b872e0b29ced2f54e,3588,https://www.larvalabs.com/cryptopunks/cryptopunk3588.png,Dark
5745,2021-04-06,25.0,2,#dc5d24,\x087173c12ec250a105aaf7cdc57d36958ee8c27d,\xd7e077576f13e54dce22da96338d56b7d9ab7c21,4026,https://www.larvalabs.com/cryptopunks/cryptopunk4026.png,Medium
