punk_id,type,gender,skin_tone,count,accessories,img_dir
349, Human, Male, Dark,3, Front Beard Dark / Earring / Mohawk Dark,./imgs/349.png
350, Human, Female, Medium,1, Stringy Hair,./imgs/350.png
351, Human, Male, Light,3, Purple Hair / Goat / Mole,./imgs/351.png
352, Human, Female, Medium,2, Green Eye Shadow / Straight Hair,./imgs/352.png
353, Human, Female, Light,2, Bandana / Green Eye Shadow,./imgs/353.png
354, Human, Male, Albino,2, Cigarette / Police Cap,./imgs/354.png
355, Human, Female, Albino,4, Wild White Hair / Black Lipstick / Gold Chain / Green Eye Shadow,./imgs/355.png
356, Human, Male, Light,1, Stringy Hair,./imgs/356.png
357, Human, Female, Dark,2, Tassle Hat / Earring,./imgs/357.png
358, Human, Male, Light,3, Luxurious Beard / Mohawk / Small Shades,./imgs/358.png
359, Human, Female, Albino,2, Messy Hair / Hot Lipstick,./imgs/359.png
360, Human, Male, Medium,2, Bandana / Normal Beard Black,./imgs/360.png
