punk_id,type,gender,skin_tone,attr_count,attributes,skin_tone_color,avg_price,img_url
669,Human,Female,Medium,2,"['Black Lipstick', 'Mohawk Thin']",#DB9065,14.226666666666667,https://www.larvalabs.com/cryptopunks/cryptopunk669.png
670,Human,Female,Dark,1,['Mohawk Thin'],#A4031F,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk670.png
671,Human,Female,Dark,3,"['Classic Shades', 'Half Shaved', 'Earring']",#A4031F,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk671.png
672,Human,Female,Light,2,"['Wild Blonde', 'Purple Lipstick']",#F2A359,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk672.png
673,Human,Male,Medium,2,"['Big Shades', 'Mohawk Dark']",#DB9065,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk673.png
674,Human,Male,Albino,2,"['Messy Hair', 'Nerd Glasses']",#F2DC5D,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk674.png
675,Human,Female,Dark,2,"['Mohawk Thin', 'Classic Shades']",#A4031F,4.996666666666667,https://www.larvalabs.com/cryptopunks/cryptopunk675.png
676,Human,Male,Dark,3,"['Stringy Hair', 'Smile', 'Regular Shades']",#A4031F,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk676.png
677,Human,Female,Light,3,"['Pipe', 'Bandana', 'Clown Eyes Blue']",#F2A359,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk677.png
678,Human,Male,Dark,2,"['Earring', 'Do-rag']",#A4031F,21.69,https://www.larvalabs.com/cryptopunks/cryptopunk678.png
679,Human,Male,Medium,3,"['Muttonchops', 'Silver Chain', 'Crazy Hair']",#DB9065,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk679.png
680,Human,Male,Dark,2,"['Peak Spike', 'Front Beard Dark']",#A4031F,11.7,https://www.larvalabs.com/cryptopunks/cryptopunk680.png
681,Human,Male,Medium,1,['Vampire Hair'],#DB9065,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk681.png
682,Human,Female,Medium,3,"['Vape', 'Black Lipstick', 'Straight Hair Dark']",#DB9065,25.464999999999996,https://www.larvalabs.com/cryptopunks/cryptopunk682.png
683,Human,Female,Albino,3,"['Knitted Cap', 'VR', 'Earring']",#F2DC5D,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk683.png
684,Human,Female,Medium,4,"['Pink With Hat', 'Purple Lipstick', 'Earring', 'Clown Eyes Blue']",#DB9065,159.0,https://www.larvalabs.com/cryptopunks/cryptopunk684.png
685,Human,Male,Medium,2,"['Mohawk', 'Regular Shades']",#DB9065,26.0,https://www.larvalabs.com/cryptopunks/cryptopunk685.png
686,Human,Male,Medium,5,"['Chinstrap', 'Earring', 'Pipe', 'Smile', 'Shaved Head']",#DB9065,61.385,https://www.larvalabs.com/cryptopunks/cryptopunk686.png
687,Human,Male,Light,2,"['Peak Spike', 'Muttonchops']",#F2A359,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk687.png
688,Human,Female,Dark,1,['Clown Hair Green'],#A4031F,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk688.png
689,Human,Female,Dark,4,"['Mole', 'Black Lipstick', 'Mohawk Thin', '3D Glasses']",#A4031F,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk689.png
690,Human,Male,Light,3,"['Messy Hair', 'Shadow Beard', 'Nerd Glasses']",#F2A359,65.69,https://www.larvalabs.com/cryptopunks/cryptopunk690.png
691,Human,Female,Medium,3,"['Messy Hair', 'Horned Rim Glasses', 'Earring']",#DB9065,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk691.png
692,Human,Male,Medium,2,"['Frumpy Hair', 'Eye Mask']",#DB9065,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk692.png
693,Human,Male,Dark,3,"['Bandana', 'Earring', 'VR']",#A4031F,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk693.png
694,Human,Male,Light,2,"['Messy Hair', 'Earring']",#F2A359,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk694.png
695,Human,Female,Medium,2,"['Tassle Hat', 'Blue Eye Shadow']",#DB9065,75.7,https://www.larvalabs.com/cryptopunks/cryptopunk695.png
696,Human,Female,Light,3,"['Purple Eye Shadow', 'Mohawk Thin', 'Purple Lipstick']",#F2A359,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk696.png
697,Human,Female,Dark,2,"['Messy Hair', 'Hot Lipstick']",#A4031F,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk697.png
698,Human,Male,Light,2,"['Hoodie', 'Regular Shades']",#F2A359,164.995,https://www.larvalabs.com/cryptopunks/cryptopunk698.png
699,Human,Male,Dark,1,['Wild Hair'],#A4031F,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk699.png
700,Human,Male,Dark,2,"['Earring', 'Mohawk Dark']",#A4031F,76.685,https://www.larvalabs.com/cryptopunks/cryptopunk700.png
701,Human,Male,Light,2,"['Peak Spike', 'Goat']",#F2A359,68.0,https://www.larvalabs.com/cryptopunks/cryptopunk701.png
702,Human,Male,Light,2,"['Muttonchops', 'Do-rag']",#F2A359,41.354285714285716,https://www.larvalabs.com/cryptopunks/cryptopunk702.png
703,Human,Male,Light,2,"['Peak Spike', 'Nerd Glasses']",#F2A359,63.495,https://www.larvalabs.com/cryptopunks/cryptopunk703.png
704,Human,Male,Medium,3,"['Cap Forward', 'Mustache', 'Smile']",#DB9065,66.35428571428572,https://www.larvalabs.com/cryptopunks/cryptopunk704.png
705,Human,Male,Medium,2,"['Horned Rim Glasses', 'Crazy Hair']",#DB9065,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk705.png
706,Human,Female,Medium,1,['Tiara'],#DB9065,5.0,https://www.larvalabs.com/cryptopunks/cryptopunk706.png
707,Human,Female,Medium,3,"['Straight Hair', 'Hot Lipstick', 'Rosy Cheeks']",#DB9065,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk707.png
708,Human,Female,Dark,2,"['Straight Hair', 'Purple Lipstick']",#A4031F,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk708.png
709,Human,Male,Dark,3,"['Shadow Beard', 'Earring', 'Shaved Head']",#A4031F,56.218,https://www.larvalabs.com/cryptopunks/cryptopunk709.png
710,Human,Male,Medium,4,"['Mustache', 'Earring', 'Headband', 'Regular Shades']",#DB9065,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk710.png
711,Human,Male,Albino,3,"['Cap', 'Handlebars', 'Small Shades']",#F2DC5D,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk711.png
712,Human,Female,Light,2,"['Straight Hair', 'Purple Lipstick']",#F2A359,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk712.png
713,Human,Male,Dark,2,"['Peak Spike', 'VR']",#A4031F,106.5,https://www.larvalabs.com/cryptopunks/cryptopunk713.png
714,Human,Female,Medium,4,"['Green Eye Shadow', 'Half Shaved', 'Earring', 'Cigarette']",#DB9065,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk714.png
715,Human,Male,Light,3,"['Mohawk Thin', 'Earring', 'Normal Beard']",#F2A359,14.95,https://www.larvalabs.com/cryptopunks/cryptopunk715.png
716,Human,Male,Medium,4,"['Earring', 'Smile', 'Do-rag', 'Eye Patch']",#DB9065,113.995,https://www.larvalabs.com/cryptopunks/cryptopunk716.png
717,Human,Female,Light,3,"['Green Eye Shadow', 'Frumpy Hair', 'Earring']",#F2A359,16.898000000000003,https://www.larvalabs.com/cryptopunks/cryptopunk717.png
718,Human,Male,Medium,2,"['Spots', 'Do-rag']",#DB9065,80.495,https://www.larvalabs.com/cryptopunks/cryptopunk718.png
719,Human,Female,Medium,3,"['Pink With Hat', 'Hot Lipstick', 'Earring']",#DB9065,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk719.png
720,Human,Male,Albino,2,"['Cap Forward', 'Earring']",#F2DC5D,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk720.png
721,Human,Female,Dark,2,"['Black Lipstick', 'Half Shaved']",#A4031F,40.0,https://www.larvalabs.com/cryptopunks/cryptopunk721.png
722,Human,Male,Dark,3,"['Normal Beard Black', 'Big Shades', 'Mohawk Dark']",#A4031F,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk722.png
