,date,from,to,eth_price,punk_id,type,gender,skin_tone,attr_count,attributes,skin_tone_color,img_url
2528,2021-08-27,1682,3772,240.0,2619,Human,Male,Light,5,"['Cigarette', 'Front Beard Dark', 'Earring', 'Horned Rim Glasses', 'Knitted Cap']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk2619.png
2529,2018-01-20,1303,15,0.17,3029,Human,Female,Light,3,"['Red Mohawk', 'Blue Eye Shadow', 'Earring']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk3029.png
2530,2021-08-01,15,5526,35.0,3029,Human,Female,Light,3,"['Red Mohawk', 'Blue Eye Shadow', 'Earring']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk3029.png
2531,2021-08-04,5526,2199,41.5,3029,Human,Female,Light,3,"['Red Mohawk', 'Blue Eye Shadow', 'Earring']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk3029.png
2532,2018-01-20,5223,142,0.1,3928,Human,Male,Medium,3,"['Vampire Hair', 'Regular Shades', 'Mole']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk3928.png
2533,2018-01-20,1303,15,0.16,5497,Human,Female,Dark,4,"['Straight Hair Blonde', 'Purple Lipstick', 'Earring', 'Cigarette']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk5497.png
2534,2018-01-20,1303,15,0.16,2384,Human,Female,Light,2,"['Straight Hair', 'Clown Eyes Blue']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk2384.png
2535,2018-01-20,1303,15,0.14,2946,Human,Female,Light,3,"['Classic Shades', 'Dark Hair', 'Earring']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk2946.png
2536,2018-01-20,5223,89,0.1,5834,Human,Female,Dark,4,"['Vape', 'Black Lipstick', 'Green Eye Shadow', 'Mohawk Thin']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk5834.png
2537,2022-04-14,89,3508,66.01,5834,Human,Female,Dark,4,"['Vape', 'Black Lipstick', 'Green Eye Shadow', 'Mohawk Thin']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk5834.png
2538,2018-01-20,1303,89,0.11,3291,Human,Male,Light,3,"['Cap', 'Big Shades', 'Normal Beard']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk3291.png
2539,2020-09-24,89,1495,3.3,3291,Human,Male,Light,3,"['Cap', 'Big Shades', 'Normal Beard']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk3291.png
2540,2021-02-15,1495,4322,11.0,3291,Human,Male,Light,3,"['Cap', 'Big Shades', 'Normal Beard']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk3291.png
2541,2021-03-11,4322,2878,18.5,3291,Human,Male,Light,3,"['Cap', 'Big Shades', 'Normal Beard']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk3291.png
2542,2018-01-20,5223,89,0.1,9613,Human,Female,Light,3,"['Vape', 'Green Eye Shadow', 'Mohawk Thin']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk9613.png
2543,2022-04-14,89,1001,79.001,9613,Human,Female,Light,3,"['Vape', 'Green Eye Shadow', 'Mohawk Thin']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk9613.png
2544,2018-01-20,5223,89,0.1,3805,Human,Male,Dark,4,"['Mohawk Thin', 'Vape', 'Earring', 'Nerd Glasses']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk3805.png
2545,2022-04-14,89,477,79.003,3805,Human,Male,Dark,4,"['Mohawk Thin', 'Vape', 'Earring', 'Nerd Glasses']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk3805.png
2546,2018-01-22,5223,2030,0.2,3618,Human,Male,Medium,4,"['Peak Spike', 'Big Shades', 'Earring', 'Pipe']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk3618.png
2547,2021-04-30,4619,2756,33.33,3618,Human,Male,Medium,4,"['Peak Spike', 'Big Shades', 'Earring', 'Pipe']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk3618.png
2548,2018-01-22,5223,2030,0.6,4654,Human,Female,Medium,3,"['Pigtails', 'Eye Patch', 'Purple Lipstick']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4654.png
2549,2021-08-20,4548,5691,128.0,4654,Human,Female,Medium,3,"['Pigtails', 'Eye Patch', 'Purple Lipstick']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4654.png
2550,2018-01-23,2794,4768,0.1,5561,Human,Male,Medium,2,"['Cap Forward', 'Classic Shades']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk5561.png
2551,2018-01-23,1303,15,0.13,3659,Human,Female,Dark,3,"['Black Lipstick', 'Dark Hair', 'Cigarette']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk3659.png
2552,2018-01-23,1303,15,0.16,1872,Human,Female,Medium,2,"['Regular Shades', 'Half Shaved']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk1872.png
2553,2021-07-17,15,345,22.99,1872,Human,Female,Medium,2,"['Regular Shades', 'Half Shaved']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk1872.png
2554,2021-08-23,345,3348,59.99,1872,Human,Female,Medium,2,"['Regular Shades', 'Half Shaved']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk1872.png
2555,2021-11-17,3348,3210,92.0,1872,Human,Female,Medium,2,"['Regular Shades', 'Half Shaved']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk1872.png
2556,2022-06-19,3210,1385,68.85,1872,Human,Female,Medium,2,"['Regular Shades', 'Half Shaved']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk1872.png
2557,2018-01-23,1303,15,0.17,7153,Human,Female,Light,4,"['Mole', 'Tassle Hat', 'Hot Lipstick', 'Regular Shades']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk7153.png
2558,2021-05-26,15,5813,19.0,7153,Human,Female,Light,4,"['Mole', 'Tassle Hat', 'Hot Lipstick', 'Regular Shades']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk7153.png
